1728780085.83,0,0,-1.9329782219e-07
1728780085.91,0,1,-1.5116658858e-07
1728780086.00,0,2,-1.3052660108e-07
1728780086.08,0,3,-1.2986576792e-07
1728780086.17,0,4,-1.3697226109e-07
1728780086.25,0,5,-1.3002639321e-07
1728780086.34,0,6,-1.223516648e-07
1728780086.42,0,7,-2.0812876755e-07
1728780086.50,0,8,-2.8827162168e-07
1728780086.59,0,9,-2.9108591093e-07
1728780086.67,0,10,-2.8735846058e-07
1728780086.76,0,11,-2.4332354087e-07
1728780086.84,0,12,-1.2866563281e-07
1728780086.93,0,13,-1.14259322e-07
1728780087.01,0,14,-1.1342442718e-07
1728780087.09,0,15,-1.1256591392e-07
1728780087.18,0,16,-1.1567645686e-07
1728780087.27,0,17,-1.1777234477e-07
1728780087.35,0,18,-1.1618446649e-07
1728780087.43,0,19,-1.1507184894e-07
1728780087.52,0,20,-1.1407261979e-07
1728780087.60,0,21,-1.1675117406e-07
1728780087.69,0,22,-2.6131692721e-07
1728780087.77,0,23,-2.7977728223e-07
1728780087.85,0,24,-3.3844699487e-07
1728780087.94,0,25,-2.7861815965e-07
1728780088.02,0,26,-2.1443379694e-07
1728780088.11,0,27,-1.2291982898e-07
1728780088.19,0,28,-1.067248192e-07
1728780088.28,0,29,-1.0269752693e-07
1728780088.36,0,30,-1.4495979883e-07
1728780088.45,0,31,-1.4531345016e-07
1728780088.58,1,0,-2.1049513066e-07
1728780088.66,1,1,-1.8234867127e-07
1728780088.74,1,2,-1.4017884098e-07
1728780088.83,1,3,-1.2346359313e-07
1728780088.91,1,4,-1.2602468757e-07
1728780089.00,1,5,-1.2881207567e-07
1728780089.08,1,6,-1.2863360155e-07
1728780089.17,1,7,-2.2516074694e-07
1728780089.25,1,8,-3.7341945358e-07
1728780089.34,1,9,-3.7739201275e-07
1728780089.42,1,10,-3.4970176443e-07
1728780089.50,1,11,-2.7503978117e-07
1728780089.59,1,12,-1.4578888852e-07
1728780089.67,1,13,-1.2553391571e-07
1728780089.76,1,14,-1.1676728207e-07
1728780089.84,1,15,-1.1795662402e-07
1728780089.93,1,16,-1.1913946452e-07
1728780090.01,1,17,-1.1635651731e-07
1728780090.09,1,18,-1.1783630072e-07
1728780090.18,1,19,-1.1779217601e-07
1728780090.26,1,20,-1.2367094371e-07
1728780090.35,1,21,-1.2161729046e-07
1728780090.43,1,22,-2.5210511012e-07
1728780090.52,1,23,-3.0319594657e-07
1728780090.60,1,24,-3.8472128949e-07
1728780090.68,1,25,-3.4551129602e-07
1728780090.77,1,26,-2.5417963911e-07
1728780090.85,1,27,-1.5782799778e-07
1728780090.94,1,28,-1.305656383e-07
1728780091.02,1,29,-1.1455495752e-07
1728780091.11,1,30,-1.5032556178e-07
1728780091.19,1,31,-1.6319629026e-07
1728780091.29,2,0,-1.5099018924e-07
1728780091.37,2,1,-1.3349838923e-07
1728780091.46,2,2,-1.1120243215e-07
1728780091.54,2,3,-1.0590524369e-07
1728780091.63,2,4,-1.1157422364e-07
1728780091.71,2,5,-1.1612869599e-07
1728780091.80,2,6,-1.1880236173e-07
1728780091.88,2,7,-1.9440021504e-07
1728780091.96,2,8,-2.5254814773e-07
